,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS10c,SBS10d,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22a,SBS22b,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40a,SBS40b,SBS40c,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,SBS91,SBS92,SBS93,SBS94,SBS95,SBS96,SBS97,SBS98,SBS99
Signature_1,0.11429213155263138,0.20955624631285344,0.321833173299473,0.3725696154723075,0.3243775671482568,0.15389354136582048,0.7252386664921424,0.6665887050075338,0.06954638688509572,0.09101932053217374,0.22838384157720512,0.11498850739470294,0.025705754179637864,0.23607202756551948,0.14975663313835152,0.061319495725523906,0.47474575899197136,0.051439806443593694,0.020491664663315208,0.12296814476526331,0.16431642922089654,0.06472013020699918,0.012943182550579965,0.0074102454464399425,0.29674680839729645,0.22672108496841398,0.21651662039334904,0.027790002317513565,0.04188962889824365,0.06982125112564536,0.23478326252326492,0.20462411653739046,0.2288693669402675,0.04119021719161149,0.05533571540274212,0.015539977029053728,0.2349137745892351,0.5461482583956699,0.2592032644006916,0.23581381257023917,0.028521233237049547,0.04449428997455929,0.24978925445315706,0.1887971531734353,0.0629162998782457,0.4808359137176264,0.14643102402477703,0.48435545760996357,0.21607457106664146,0.330137071842084,0.09081032050462831,0.2576935960804836,0.024711977535807315,0.10568239756356526,0.40349006875273896,0.1637472719916711,0.20848866837166274,0.05800162262703851,0.2735557136781578,0.4498759965815026,0.09275987197889744,0.11445661297609383,0.48020414601158384,0.02651983198569509,0.05840886463986874,0.047887959446951976,0.1366182422081421,0.16576071566617565,0.035283667742680554,0.007398646054137686,0.15342557540715016,0.07040790559111637,0.09737453830769782,0.179203675059891,0.03156977586840796,0.2535862263847351,0.011467431872092782,0.08421342128981239,0.29131873942468217,0.13342329709049933,0.4886005099426812,0.32623621664909264,0.12973042995461156,0.25532942772442124,0.10881566182256988,0.14475675130716853
Signature_2,0.11033904301839519,0.4973071423820409,0.2955057110469286,0.1191264501358009,0.4337001462643271,0.20783563099626662,0.9258318329030445,0.9068733341989904,0.09985720304608636,0.10685927381481669,0.07789128147553351,0.13428777935454764,0.020015652263167205,0.4291008394041995,0.10495314200256575,0.028733802931144893,0.6830671663981724,0.05778112268791089,0.018838899969553912,0.030669500648037598,0.1422713057116793,0.07364260195064916,0.018809389628418355,0.008954303652815843,0.12382940616576463,0.5084094205735165,0.10202844145374174,0.03768084929073568,0.02408041804535634,0.06384146004810744,0.5266573596364876,0.11994408911068215,0.21447900185958205,0.05273623265303969,0.07346124924602568,0.021273774435633108,0.0657052981457547,0.7839996834838522,0.5240770540747862,0.383334878356063,0.04393835635943225,0.01980626083110821,0.2783449301786874,0.06940798077953003,0.07524466432130265,0.04056458956075703,0.11812251754593686,0.6084038448485191,0.26232976673759656,0.45299984065045884,0.11832718118620876,0.3496120752325719,0.013183640662098406,0.09510339004609905,0.023718427525114723,0.1761056248713246,0.20218194536911616,0.003236522401090731,0.006748783656428852,0.4404699161872127,0.0956974729827177,0.017146334827766632,0.06777384287632887,0.028101943598499917,0.052375544552297315,0.011302296318590858,0.18342939442915976,0.2893259030280411,0.008282023159551627,0.013647356212190197,0.266205633213578,0.08733191629685524,0.09530850852339179,0.19160633426657694,0.03157542778730962,0.20365342184975627,0.017402201468924156,0.046446638771172916,0.3777643963044559,0.14659853703388484,0.2788009306859935,0.15708421761092226,0.10967321277890121,0.4011543800734866,0.09129511299185217,0.1473613419173153
Signature_3,0.09921021821792299,0.1307019922796594,0.7062283481618363,0.961648250636977,0.5033984449003454,0.18918989394701577,0.19445373099029695,0.2559047025950394,0.12989294239303179,0.11465258053914464,0.7668120890647049,0.26670375814050445,0.26542324798400985,0.13083818184616985,0.4561021605084554,0.368548162028908,0.20922821365394426,0.16847240152644097,0.16767384478646682,0.5199805738201534,0.23074458491321828,0.20049079238985063,0.07311719792355029,0.019943549094863053,0.7254790095420928,0.2588483102898589,0.5435908920934366,0.11473623540387205,0.24709795998861003,0.2452765479607085,0.23720751766538986,0.7253124369753995,0.553905371737993,0.15718987456749467,0.14460709943777827,0.0289491900862234,0.7941378855817607,0.276726013709826,0.4067944305180074,0.28636093424636866,0.1071868655970956,0.06725783437825833,0.679582086063308,0.6297290469777471,0.16921018994050815,0.608838307973624,0.4372865028774651,0.643789642902363,0.4457896486874015,0.5556278969919117,0.1829825815069159,0.48463861643965256,0.09151275618856071,0.3741593223738711,0.7508191618241062,0.27165873311771244,0.22709526861591112,0.16874473890899727,0.42812232944206996,0.40725019654423633,0.30058827118381976,0.3501518912372175,0.49467266150732775,0.1558324312777079,0.08906659281100696,0.3661145047227232,0.19683634031338446,0.2743785303276559,0.2617311898085594,0.025458585534280497,0.22937055847697024,0.14228885798878402,0.24792060408843353,0.24230533408128965,0.1017838425971644,0.6446891207489592,0.07047895570928332,0.3129942295214716,0.5179216134864293,0.2911115017209681,0.8468815922484773,0.8718161706785598,0.33917593227935183,0.26280232031144346,0.3024061230171207,0.3094781924746191
Signature_4,0.086254499090713,0.7278070427902898,0.30213732843381763,0.12426961578996917,0.32737293836883347,0.11897688909281838,0.5147614786371449,0.19583492464615562,0.07676126293728794,0.06604199442410061,0.10238245375496395,0.1025270884282594,0.07298178931234482,0.25263014988256566,0.11223353397345186,0.10423413992658272,0.18328855579461795,0.05564238380775906,0.6805016965256573,0.051555167949507194,0.11665989313708876,0.11705766946146699,0.011545414091501506,0.006819860356910539,0.15618980563926707,0.18569107006634977,0.051563798679333486,0.022874818478963325,0.022964785010611208,0.0753711289405157,0.09331584330871893,0.1112461862866949,0.24781031999679623,0.041464175691280754,0.0658392994145211,0.01624422747217863,0.1149626982334801,0.3522842930380386,0.09936699539557556,0.20530765712355137,0.08673473119394001,0.01370009292270274,0.13904139921291214,0.1569505106167293,0.06416177032087429,0.04797040900491959,0.406611340714173,0.47315563095192387,0.3813581463488375,0.32791035329733276,0.25675694726851944,0.1023305070910496,0.012754584139772785,0.06528938496116446,0.06398775157279532,0.12472123009180792,0.14346977593564153,0.029256662425704738,0.016405753615011367,0.21951149011812518,0.11713375229438114,0.1063553224131301,0.05475593323800331,0.02591846031935638,0.051576727986328896,0.08779675375524998,0.13280222973716363,0.3245087004884851,0.019993285892563252,0.006583735713976903,0.07368413063233231,0.10019934463735325,0.4318323125791474,0.13172959792998226,0.030155551767365774,0.32123762661646943,0.012770943316857908,0.13554943215999252,0.3090375199118219,0.22075993194323665,0.20600717100476362,0.16117902924638236,0.12016613585884084,0.15609651778716238,0.10085200511772342,0.19914922877220648
Signature_5,0.7836014031706265,0.14439017377000463,0.48411374491709,0.2473900322098875,0.6605399534220416,0.8801413917169217,0.21283540304530868,0.2714157687453124,0.13038918852437054,0.20146603623595724,0.26603761948286536,0.37944063893835767,0.09118055559044755,0.30932852051467746,0.30966096726536885,0.10834586807735268,0.32839783668881534,0.34705244067358687,0.06393223019105836,0.24022534311388744,0.7484888690234053,0.23296064646141953,0.16954117014784523,0.13953356599507988,0.29288697995489,0.3159896358362271,0.3591950156562578,0.29178692930381755,0.09588483778829521,0.15963066799907216,0.38828300878313254,0.3344366062248099,0.5139750100556078,0.4013725899711606,0.11924791826005779,0.11413760679514234,0.3121260501192,0.3909775365878042,0.30804410290762013,0.4457868955875912,0.21491331909758474,0.08010991218516725,0.27103054073212546,0.18572103316565106,0.3612062485501136,0.12772430030393492,0.3651980200320344,0.5538543847448222,0.425054429232223,0.6022583309944426,0.30653657706620346,0.44958868621817444,0.129372589883858,0.6054642442071075,0.14354147753355675,0.4191000109496342,0.14431938642240758,0.023642801420670947,0.05192437537253997,0.23337906015111498,0.23911648434724075,0.07792401399286196,0.1476931520772881,0.3420991670568554,0.12518585352546138,0.11013498063892051,0.2912203125287035,0.30294028036673404,0.08141771190315247,0.04998666812774917,0.4123120149191858,0.21003478780527887,0.2531117751952054,0.6749301197353746,0.22206416782090999,0.39840522662062755,0.047802680144505866,0.07791280042708443,0.49577623910111523,0.3917348376113139,0.49499246383289963,0.3438088181942646,0.43561191706033325,0.2159986982429738,0.41590128380984576,0.35471016782247683
